file,line,category,severity,issue,suggestion,example
backend/app/models/user_model.py,85,性能瓶颈,中,潜在全量拉取/物化（list(find)/toArray）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,return list(mongo.db.users.find())
backend/app/routes/order.py,43,代码质量,中,圈复杂度偏高（≈29）：create_order,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def create_order(...):
backend/app/routes/product.py,183,代码质量,中,圈复杂度偏高（≈19）：reco_event,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def reco_event(...):
backend/app/routes/user.py,101,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:657, backend/app/routes/user.py:101"
backend/app/routes/user.py,102,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:658, backend/app/routes/user.py:102"
backend/app/routes/user.py,103,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:659, backend/app/routes/user.py:103"
backend/app/routes/user.py,104,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:660, backend/app/routes/user.py:104"
backend/app/routes/user.py,105,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:661, backend/app/routes/user.py:105"
backend/app/routes/user.py,106,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:662, backend/app/routes/user.py:106"
backend/app/routes/user.py,107,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:663, backend/app/routes/user.py:107"
backend/app/routes/user.py,108,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:664, backend/app/routes/user.py:108"
backend/app/routes/user.py,109,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:665, backend/app/routes/user.py:109"
backend/app/routes/user.py,110,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:666, backend/app/routes/user.py:110"
backend/app/routes/user.py,111,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: backend/app/admin_v2/controllers.py:667, backend/app/routes/user.py:111"
backend/app/services/activity_service.py,86,代码质量,中,函数过长（103 行）：validate_activity,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def validate_activity(...):
backend/app/services/activity_service.py,86,代码质量,中,圈复杂度偏高（≈58）：validate_activity,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def validate_activity(...):
backend/app/services/activity_service.py,466,代码质量,中,圈复杂度偏高（≈18）：public_list,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def public_list(...):
backend/app/services/activity_service.py,537,代码质量,中,圈复杂度偏高（≈27）：register,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def register(...):
backend/app/services/maintenance_pdf_service.py,21,代码质量,中,函数过长（89 行）：export_record_pdf_for_user,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def export_record_pdf_for_user(...):
backend/app/services/maintenance_pdf_service.py,21,代码质量,中,圈复杂度偏高（≈22）：export_record_pdf_for_user,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def export_record_pdf_for_user(...):
backend/app/services/maintenance_service.py,181,代码质量,中,函数过长（80 行）：create_appointment,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def create_appointment(...):
backend/app/services/maintenance_service.py,181,代码质量,中,圈复杂度偏高（≈22）：create_appointment,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def create_appointment(...):
backend/app/services/recommender.py,84,代码质量,中,函数过长（124 行）：_score_product,拆分为更小的函数/提取校验与持久化逻辑，降低圈复杂度与测试成本。,def _score_product(...):
backend/app/services/recommender.py,84,代码质量,中,圈复杂度偏高（≈48）：_score_product,减少嵌套与分支；采用早返回/策略表/状态机；为分支路径补单测。,def _score_product(...):
frontend/src/components/auth/AdminLogin.vue,28,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:28, frontend/src/components/auth/UserLogin.vue:17"
frontend/src/components/auth/AdminLogin.vue,29,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:29, frontend/src/components/auth/UserLogin.vue:18, frontend/src/components/auth/UserRegister.vue:24"
frontend/src/components/auth/AdminLogin.vue,30,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:30, frontend/src/components/auth/UserRegister.vue:25"
frontend/src/components/auth/UserLogin.vue,17,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:28, frontend/src/components/auth/UserLogin.vue:17"
frontend/src/components/auth/UserLogin.vue,18,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:29, frontend/src/components/auth/UserLogin.vue:18, frontend/src/components/auth/UserRegister.vue:24"
frontend/src/components/auth/UserLogin.vue,32,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/UserLogin.vue:32, frontend/src/components/auth/UserRegister.vue:48"
frontend/src/components/auth/UserLogin.vue,77,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/UserLogin.vue:77, frontend/src/components/auth/UserRegister.vue:103"
frontend/src/components/auth/UserRegister.vue,24,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:29, frontend/src/components/auth/UserLogin.vue:18, frontend/src/components/auth/UserRegister.vue:24"
frontend/src/components/auth/UserRegister.vue,25,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/AdminLogin.vue:30, frontend/src/components/auth/UserRegister.vue:25"
frontend/src/components/auth/UserRegister.vue,48,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/UserLogin.vue:32, frontend/src/components/auth/UserRegister.vue:48"
frontend/src/components/auth/UserRegister.vue,103,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/components/auth/UserLogin.vue:77, frontend/src/components/auth/UserRegister.vue:103"
frontend/src/hooks/useSpeechRecognition.ts,36,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:36, frontend/src/stores/speech.ts:41"
frontend/src/hooks/useSpeechRecognition.ts,37,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:37, frontend/src/stores/speech.ts:42"
frontend/src/hooks/useSpeechRecognition.ts,38,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:38, frontend/src/stores/speech.ts:43"
frontend/src/hooks/useSpeechRecognition.ts,39,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:39, frontend/src/stores/speech.ts:44"
frontend/src/hooks/useSpeechRecognition.ts,40,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:40, frontend/src/stores/speech.ts:45"
frontend/src/hooks/useSpeechRecognition.ts,41,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:41, frontend/src/stores/speech.ts:46"
frontend/src/hooks/useSpeechRecognition.ts,60,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:60, frontend/src/stores/speech.ts:73"
frontend/src/hooks/useSpeechRecognition.ts,61,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:61, frontend/src/stores/speech.ts:74"
frontend/src/hooks/useSpeechRecognition.ts,62,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:62, frontend/src/stores/speech.ts:75"
frontend/src/hooks/useSpeechRecognition.ts,63,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:63, frontend/src/stores/speech.ts:76"
frontend/src/stores/a11y.ts,77,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(STORAGE_KEY, JSON.stringify(payload))"
frontend/src/stores/a11y.ts,81,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const raw = localStorage.getItem(STORAGE_KEY)
frontend/src/stores/cart.ts,41,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(CACHE_KEY, JSON.stringify(payload))"
frontend/src/stores/cart.ts,45,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const raw = localStorage.getItem(CACHE_KEY)
frontend/src/stores/cover.ts,26,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const rm = localStorage.getItem(REDUCE_KEY)
frontend/src/stores/cover.ts,28,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const ps = Number(localStorage.getItem(PARTICLE_SCALE_KEY) ?? '1')
frontend/src/stores/cover.ts,44,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(REDUCE_KEY, reduceMotion.value ? '1' : '0')"
frontend/src/stores/cover.ts,54,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(PARTICLE_SCALE_KEY, String(particleScale.value))"
frontend/src/stores/reco.ts,47,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const existing = localStorage.getItem(key)
frontend/src/stores/reco.ts,53,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(key, id)"
frontend/src/stores/reco.ts,84,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,const cached = safeParse<HearingProfile>(localStorage.getItem(PROFILE_KEY))
frontend/src/stores/reco.ts,102,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem(PROFILE_KEY, JSON.stringify(payload))"
frontend/src/stores/speech.ts,41,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:36, frontend/src/stores/speech.ts:41"
frontend/src/stores/speech.ts,42,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:37, frontend/src/stores/speech.ts:42"
frontend/src/stores/speech.ts,43,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:38, frontend/src/stores/speech.ts:43"
frontend/src/stores/speech.ts,44,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:39, frontend/src/stores/speech.ts:44"
frontend/src/stores/speech.ts,45,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:40, frontend/src/stores/speech.ts:45"
frontend/src/stores/speech.ts,46,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:41, frontend/src/stores/speech.ts:46"
frontend/src/stores/speech.ts,73,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:60, frontend/src/stores/speech.ts:73"
frontend/src/stores/speech.ts,74,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:61, frontend/src/stores/speech.ts:74"
frontend/src/stores/speech.ts,75,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:62, frontend/src/stores/speech.ts:75"
frontend/src/stores/speech.ts,76,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/hooks/useSpeechRecognition.ts:63, frontend/src/stores/speech.ts:76"
frontend/src/tests/a11yStore.spec.ts,15,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,localStorage.setItem(
frontend/src/tests/cartStore.spec.ts,34,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,expect(localStorage.getItem('cart_cache_v1')).toBeTruthy()
frontend/src/tests/cartStore.spec.ts,53,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,localStorage.setItem(
frontend/src/tests/cartStore.spec.ts,69,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,expect(localStorage.getItem('cart_cache_v1')).toBeNull()
frontend/src/tests/cartStore.spec.ts,74,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,localStorage.setItem(
frontend/src/tests/cartStore.spec.ts,84,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,expect(localStorage.getItem('cart_cache_v1')).toBeNull()
frontend/src/tests/coverEntry.spec.ts,15,安全漏洞,中,localStorage 保存 token（XSS 风险放大）,需要人工复核上下文：确认是否为误报；如属实则按安全基线整改。,"localStorage.setItem('cover_seen_v1', getCoverSessionId())"
frontend/src/tests/e2e/a11y-modes.spec.ts,6,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:6, frontend/src/tests/e2e/admin-access.spec.ts:14, frontend/src/tests/e2e/admin-return-from-home.spec.ts:8, frontend/src/tests/e2e/logout-cart-badge.spec.ts:7"
frontend/src/tests/e2e/a11y-modes.spec.ts,7,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:7, frontend/src/tests/e2e/admin-access.spec.ts:15, frontend/src/tests/e2e/admin-return-from-home.spec.ts:9, frontend/src/tests/e2e/logout-cart-badge.spec.ts:8"
frontend/src/tests/e2e/a11y-modes.spec.ts,8,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:8, frontend/src/tests/e2e/admin-access.spec.ts:16, frontend/src/tests/e2e/admin-return-from-home.spec.ts:10, frontend/src/tests/e2e/logout-cart-badge.spec.ts:9"
frontend/src/tests/e2e/a11y-modes.spec.ts,9,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:9, frontend/src/tests/e2e/admin-access.spec.ts:17, frontend/src/tests/e2e/admin-return-from-home.spec.ts:11, frontend/src/tests/e2e/logout-cart-badge.spec.ts:10"
frontend/src/tests/e2e/a11y-modes.spec.ts,10,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:10, frontend/src/tests/e2e/admin-access.spec.ts:18, frontend/src/tests/e2e/admin-return-from-home.spec.ts:12, frontend/src/tests/e2e/logout-cart-badge.spec.ts:11"
frontend/src/tests/e2e/a11y-modes.spec.ts,11,代码质量,中,疑似重复代码片段,抽取为共享函数/组件/DAO 方法；统一校验与错误处理以减少漂移。,"重复片段位置: frontend/src/tests/e2e/a11y-modes.spec.ts:11, frontend/src/tests/e2e/admin-access.spec.ts:19"
